Tabel 1
SAMPLE,IPUMS sample identifier,SUBSAMP,,Subsample number,HHTYPE,,Household Type,REGION,,Census region and division,STATEFIP,,State (FIPS code),METRO,,Metropolitan status,CITY,,City,CITYERR,,Coverage error in CITY variable,HOMELAND,,"American Indian, Alaska Native, or Native Hawaiian homeland area",CNTRY,,Country,GQ,,Group quarters status,GQTYPE,,Group quarters type [general version],GQTYPED,,Group quarters type [detailed version],FARM,,Farm status,OWNERSHP,,Ownership of dwelling (tenure) [general version],OWNERSHPD,,Ownership of dwelling (tenure) [detailed version],MORTGAGE,,Mortgage status,MORTGAG2,,Second mortgage status,ACREHOUS,,House acreage,TAXINCL,,Mortgage payment includes property taxes,INSINCL,,Mortgage payment includes property insurance,PROPTX99,,"Annual property taxes, 1990",RENTMEAL,,Meals included in rent,UNITSSTR,,Units in structure,BEDROOMS,,Number of bedrooms,NFAMS,,Number of families in household,NSUBFAM,,Number of subfamilies in household,NCOUPLES,,Number of couples in household,NMOTHERS,,Number of mothers in household,NFATHERS,,Number of fathers in household,MULTGEN,,Multigenerational household [general version],MULTGEND,,Multigenerational household [detailed version],CBNSUBFAM,,Number of subfamilies in household (original Census Bureau classification),FAMUNIT,,Family unit membership,SFTYPE,,Subfamily type,SFRELATE,,Relationship within subfamily,CBSUBFAM,,Subfamily number (original Census Bureau classification),CBSFTYPE,,Subfamily type (original Census Bureau classification),CBSFRELATE,,Subfamily relationship (original Census Bureau classification),MOMRULE,,Rule for linking mother (new),POPRULE,,Rule for linking father (new),SPRULE,,Rule for linking spouse or partner (new),MOM2RULE,,Rule for linking second mother (new),POP2RULE,,Rule for linking second father (new),NCHILD,,Number of own children in the household,NCHLT5,,Number of own children under age 5 in household,NSIBS,,Number of own siblings in household,ELDCH,,Age of eldest own child in household,YNGCH,,Age of youngest own child in household,RELATE,,Relationship to household head [general version],RELATED,,Relationship to household head [detailed version],SEX,Sex,AGE,Age,MARST,Marital status,MARRNO,Times married,MARRINYR,Married within the past year,DIVINYR,Divorced in the past year,WIDINYR,Widowed in the past year,FERTYR,Children born within the last year,RACE,Race [general version],RACED,Race [detailed version],HISPAN,Hispanic origin [general version],HISPAND,Hispanic origin [detailed version],BPL,Birthplace [general version],BPLD,Birthplace [detailed version],ANCESTR1,"Ancestry, first response [general version]",ANCESTR2,"Ancestry, second response [general version]",ANCESTR2D,"Ancestry, second response [detailed version]",CITIZEN,Citizenship status,YRSUSA2,"Years in the United States, intervalled",LANGUAGE,Language spoken [general version],LANGUAGED,Language spoken [detailed version],SPEAKENG,Speaks English,TRIBE,Tribe [general version],TRIBED,Tribe [detailed version],EDUC,Educational attainment [general version],EDUCD,Educational attainment [detailed version],GRADEATT,Grade level attending [general version],GRADEATTD,Grade level attending [detailed version],SCHLTYPE,Public or private school,DEGFIELD,Field of degree [general version],DEGFIELDD,Field of degree [detailed version],EMPSTAT,Employment status [general version],EMPSTATD,Employment status [detailed version],LABFORCE,Labor force status,CLASSWKR,Class of worker [general version],CLASSWKRD,Class of worker [detailed version],OCC1950,"Occupation, 1950 basis",OCC1990,"Occupation, 1990 basis",IND1950,"Industry, 1950 basis",WRKLSTWK,Worked last week,ABSENT,Absent from work last week,LOOKING,Looking for work,AVAILBLE,Available for work,WRKRECAL,Informed of work recall,WORKEDYR,Worked last year,MIGRATE1,"Migration status, 1 year [general version]",MIGRATE1D,"Migration status, 1 year [detailed version]",MIGPLAC1,State or country of residence 1 year ago,MIGMET131,Metropolitan area of residence 1 year ago (2013 delineations),MIGTYPE1,Metropolitan status 1 year ago,PWSTATE2,Place of work: state,PWMET13,Place of work: metropolitan area (2013 delineations),PWTYPE,Place of work: metropolitan status,TRANWORK,Means of transportation to work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201904,"2015-2019, PRCS 5-year",0,,First 1% subsample,0,,N/A,,,NORTHEAST REGION,1,,Alabama,0,,Metropolitan status indeterminable (mixed),0,,Not in identifiable city (or size group),0,,Not Applicable (no city identified),1,,PUMA does not include a homeland area,630,,Puerto Rico,0,,Vacant unit,0,,NA (non-group quarters households),0,,NA (non-group quarters households),0,,N/A,0,,N/A,0,,N/A,0,,N/A,0,,N/A,0,,N/A,0,,N/A,0,,N/A,0,,N/A (GQ/vacant/not owned  or being bought/not a one-family h,0,,N/A,0,,N/A,0,,N/A,0,,0 families (vacant unit),0,,No subfamilies or N/A (GQ/vacant unit),0,,0 couples or N/A,0,,0 mothers or N/A,0,,0 fathers or N/A,0,,N/A,0,,N/A,0,,No subfamilies or N/A (GQ/vacant unit),1,,1st family in household or group quarters,0,,Group quarters or not in subfamily,0,,Group quarters or not in subfamily,0,,Group quarters or not in subfamily,0,,Group quarters or not in subfamily,0,,Group quarters or not in subfamily,0,,No mother link,0,,No father link,0,,No spouse or partner link,0,,No mother link,0,,No father link,0,,0 children present,0,,No children under age 5,0,,0 siblings,0,,Less than 1 year old,0,,Less than 1 year old,,,RELATIVES,,,RELATIVES,1,Male,0,Less than 1 year old,1,"Married, spouse present",0,Not Applicable,0,N/A,0,N/A,0,N/A,0,N/A,1,White,,ONE MAJOR RACE GROUP,0,Not Hispanic,0,Not Hispanic,,UNITED STATES,,UNITED STATES,,WESTERN EUROPE (EXCEPT SPAIN),,WESTERN EUROPE (EXCEPT SPAIN),,WESTERN EUROPE (EXCEPT SPAIN),0,N/A,0,N/A,0,N/A or blank,0,N/A or blank,0,N/A (Blank),0,Not applicable or blank,0,Not applicable or blank,0,N/A or no schooling,0,N/A or no schooling,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,,"Professional, Technical:",,MANAGERIAL AND PROFESSIONAL SPECIALTY OCCUPATIONS,0,N/A or none reported,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Not in identifiable area,0,N/A,0,N/A,0,Not in identifiable area,0,N/A or abroad,0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201903,"2015-2019, ACS 5-year",1,,2nd 1% subsample,,,Family Households:,11,,New England Division,2,,Alaska,1,,Not in metropolitan area,1,,"Aberdeen, SD",,,Omission + commission error:,2,,PUMA includes a homeland area,840,,United States,,,Households:,,,Institutions,,,"GQ in IPUMS, sampled as a larger unit (10 or more unrelated persons):",1,,Non-Farm,1,,Owned or being bought (loan),10,,Owned or being bought,1,,"No, owned free and clear",1,,No,,,For Non-Puerto Rican US,1,,No,1,,No,1,,None,1,,"No, meals not included",1,,Mobile home or trailer,1,,No bedrooms,1,,1 family or N/A,1,,1 subfamily,1,,1,1,,1,1,,1,1,,1 generation,10,,1 generation,1,,1 subfamily,2,,2nd family in household or group quarters,,,RELATED SUBFAMILIES,1,,Reference person,1,,1st subfamily in household,1,,Married-couple related subfamily with children,1,,Reference person,11,,"Direct link, clarity level 1",11,,"Direct link, clarity level 1",11,,"Direct link, clarity level 1",11,,"Direct link, clarity level 1",11,,"Direct link, clarity level 1",1,,1 child present,1,,1 child under age 5,1,,1 sibling,1,,1,1,,1,1,,Head/Householder,101,,Head/Householder,2,Female,1,1,2,"Married, spouse absent",1,Married once,1,Blank (No),1,Blank (No),1,Blank (No),1,No,2,Black/African American/Negro,100,White,1,Mexican,100,Mexican,1,Alabama,100,Alabama,1,"Alsatian, Alsace-Lorraine",1,"Alsatian, Alsace-Lorraine",10,Alsatian,1,Born abroad of American parents,1,0-5 years,1,English,100,English,1,Does not speak English,1001,Alaskan Indian,,Alaska Native,1,Nursery school to grade 4,1,N/A,1,Nursery school/preschool,10,Nursery school/preschool,1,Not enrolled,11,Agriculture,1100,General Agriculture,1,Employed,,In Labor Force,1,"No, not in the labor force",1,Self-employed,10,Self-employed,0,Accountants and auditors,,"Executive, Administrative, and Managerial Occupations:",,"Agriculture, Forestry, and Fishing:",1,Did not work,1,No,1,"No, did not look for work",1,"No, already has job",1,No,1,No,1,Same house,10,Same house,1,Alabama,10420,"Akron, OH",1,Not in metropolitan area,1,Alabama,10420,"Akron, OH",,In metropolitan area:,,Private motorized vehicle:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201902,2019 PRCS,2,,2,1,,Married-couple family household,12,,Middle Atlantic Division,4,,Arizona,,,In metropolitan area:,2,,"Aberdeen, WA",1,,0%,,,,,,,1,,Households under 1970 definition,1,,"Institution (1990, 2000, ACS/PRCS)",10,,"Family group, someone related to head",2,,Farm,2,,Rented,11,,Check mark (owns?),2,,Check mark on manuscript (probably yes),2,,Yes,1,,House on less than 10 acres,2,,Yes,2,,"Yes, payment includes insurance premiums",2,,$1-49  ($2-49 in 1990 PR Samples),2,,Yes,2,,"Boat, tent, van, other",2,,1,2,,2 families,2,,2 subfamilies,2,,2,2,,2,2,,2,2,,2 generations,20,,1-2 generations (Census 2008 definition),2,,2 subfamilies,3,,3rd,1,,Married-couple related subfamily with children,2,,Spouse (married-couple subfamily only),2,,2nd subfamily in household,2,,Married-couple related subfamily without children,2,,Spouse (married-couple subfamily only),12,,"Direct link, clarity level 2",12,,"Direct link, clarity level 2",12,,"Direct link, clarity level 2",12,,"Direct link, clarity level 2",12,,"Direct link, clarity level 2",2,,2,2,,2,2,,2 siblings,2,,2,2,,2,2,,Spouse,201,,Spouse,,,2,2,3,Separated,2,Married twice (or more),2,Yes,2,Yes,2,Yes,2,Yes,3,American Indian or Alaska Native,110,Spanish write_in,2,Puerto Rican,102,Mexican American,2,Alaska,200,Alaska,2,Andorran,2,Andorran,20,Andorran,2,Naturalized citizen,2,6-10 years,2,German,110,Jamaican Creole,2,"Yes, speaks English...",1002,Alaska Native,100100,Alaska Indian,2,"Grade 5, 6, 7, or 8",2,No schooling completed,2,Kindergarten,20,Kindergarten,2,Public school,13,Environment and Natural Resources,1101,Agriculture Production and Management,2,Unemployed,,Employed,2,"Yes, in the labor force",2,Works for wages,11,Employer,1,Actors and actresses,3,Legislators,105,Agriculture,2,Worked,2,"Yes, laid off",2,"Yes, looked for work",2,"No, temporarily ill",2,Yes,2,"No, but worked 1-5 years ago (ACS only)",2,Moved within state,,Different house:,2,Alaska,10580,"Albany-Schenectady-Troy, NY",,In metropolitan area:,2,Alaska,10580,"Albany-Schenectady-Troy, NY",1,In metropolitan area: In central/principal city,10,"Auto, truck, or van",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201901,2019 ACS,3,,3,2,,"Male householder, no wife present",13,,Mixed Northeast Divisions (1970 Metro),5,,Arkansas,2,,In metropolitan area: In central/principal city,3,,"Abilene, TX",2,,0.1 to 0.9%,,,,,,,2,,Additional households under 1990 definition,2,,Correctional institutions,20,,"Unrelated individuals, no one related to head",,,,,,,12,,Owned free and clear,3,,"Yes, mortgaged/ deed of trust or similar debt",3,,"Yes, 2nd mortgage",2,,House on 10 acres or more,,,,,,,3,,$ 50 - 99,,,,3,,"1-family house, detached",3,,2,3,,3,3,,3,3,,3,3,,3,3,,3,3,,3+ generations,21,,"2 adjacent generations, adult-children",3,,3,4,,4th,2,,Married-couple related subfamily without children,3,,Child,3,,3rd,3,,Father-child related subfamily,3,,Child,13,,"Direct link, clarity level 3",13,,"Direct link, clarity level 3",13,,"Direct link, clarity level 3",13,,"Direct link, clarity level 3",13,,"Direct link, clarity level 3",3,,3,3,,3,3,,3 siblings,3,,3,3,,3,3,,Child,202,,2nd/3rd Wife (Polygamous),,,3,3,4,Divorced,3,Married thrice (or more),,,8,Suppressed,,,8,Suppressed,4,Chinese,120,Blank (white) (1850),3,Cuban,103,Mexicano/Mexicana,4,Arizona,400,Arizona,3,Austrian,3,Austrian,30,Austrian,3,Not a citizen,3,11-15 years,3,"Yiddish, Jewish",120,"Krio, Pidgin Krio",3,"Yes, speaks only English",1003,Alaskan Athabaskan,100101,Alaska Indian,3,Grade 9,10,Nursery school to grade 4,3,Grade 1 to grade 4,30,Grade 1 to grade 4,3,"Private school (1960,1990-2000,ACS,PRCS)",14,Architecture,1102,Agricultural Economics,3,Not in labor force,10,At work,,,,,12,Working on own account,2,Airplane pilots and navigators,4,Chief executives and public administrators,116,Forestry,3,Not Reported,3,"Yes, other reason (vacation, illness, labor dispute, etc.)",3,Not reported,3,"No, other reason(s)",3,Not reported,3,Yes,3,Moved between states,20,Same state (migration status within state unknown),4,Arizona,10740,"Albuquerque, NM",2,In metropolitan area: Central/principal city status indeterminable (mixed),4,Arizona,10740,"Albuquerque, NM",2,In metropolitan area: In central city: In CBD,11,Auto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201804,"2014-2018, PRCS 5-year",4,,4,3,,"Female householder, no husband present",,,MIDWEST REGION,6,,California,3,,In metropolitan area: Not in central/principal city,4,,"Ada, OK",3,,1.0 to 1.9%,,,,,,,,,Group Quarters:,3,,Mental institutions,,,Institutions,,,,,,,13,,Owned with mortgage or loan,4,,"Yes, contract to purchase",4,,"Yes, home equity loan",,,For Puerto Rico:,,,,,,,4,,$ 100 - 149,,,,4,,"1-family house, attached",4,,3,4,,4,4,,4,4,,4,4,,4,4,,4,,,,22,,"2 adjacent generations, adult-adult",4,,4,5,,5th,3,,Father-child related subfamily,,,,4,,4th,4,,Mother-child related subfamily,8,,1960s cases to be allocated,14,,"Direct link, clarity level 4",14,,"Direct link, clarity level 4",14,,"Direct link, clarity level 4",14,,"Direct link, clarity level 4",14,,"Direct link, clarity level 4",4,,4,4,,4,4,,4 siblings,4,,4,4,,4,4,,Child-in-law,301,,Child,,,4,4,5,Widowed,4,Four times,,,,,,,,,5,Japanese,130,Portuguese,4,Other,104,Chicano/Chicana,5,Arkansas,500,Arkansas,4,Tirolean,4,Tirolean,40,Tirolean,4,"Not a citizen, but has received first papers",4,16-20 years,4,Dutch,130,Hawaiian Pidgin,4,"Yes, speaks very well",1004,Aleut,100200,Alaska Native,4,Grade 10,11,"Nursery school, preschool",4,Grade 5 to grade 8,31,Grade 1,4,Church-related (1980),15,"Area, Ethnic, and Civilization Studies",1103,Animal Sciences,,,11,"At work, public emerg",,,,,13,"Self-employed, not incorporated",3,Architects,7,Financial managers,126,Fisheries,,,4,Not reported,,,4,"Yes, available for work",,,,,4,Abroad one year ago,21,"Different house, moved within county",5,Arkansas,10780,"Alexandria, LA",3,In metropolitan area: In central/principal city,5,Arkansas,10780,"Alexandria, LA",3,In metropolitan area: In central city: Not in CBD,12,Driver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201803,"2014-2018, ACS 5-year",5,,5,,,Nonfamily Households:,21,,East North Central Div.,8,,Colorado,4,,In metropolitan area: Central/principal city status indeterminable (mixed),5,,"Adams, MA",4,,2.0 to 4.9%,,,,,,,3,,Group quarters--Institutions,4,,"Institutions for the elderly, handicapped, and poor",100,,"Institution (1990, 2000, ACS/PRCS)",,,,,,,20,,Rented,,,,5,,"Yes, 2nd mortgage and home equity loan",3,,House on less than 3 cuerdas (1980-1990),,,,,,,5,,$ 150 - 199,,,,5,,2-family building,5,,"4 (1970-2000, 2000-2007 ACS/PRCS)",5,,5,5,,5,5,,5,5,,5,5,,5,,,,23,,2 nonadjacent generations,5,,5,6,,6th,4,,Mother-child related subfamily,,,,5,,5th,,,,,,,15,,"Direct link, clarity level 5",15,,"Direct link, clarity level 5",21,,"Second level link, clarity level 1",15,,"Direct link, clarity level 5",15,,"Direct link, clarity level 5",5,,5,5,,5,5,,5 siblings,5,,5,5,,5,5,,Parent,302,,Adopted Child,,,5,5,6,Never married/single,5,Five times,,,,,,,,,6,Other Asian or Pacific Islander,140,Mexican (1930),9,Not Reported,105,La Raza,6,California,600,California,,Basque:,,Basque:,,Basque:,5,"Foreign born, citizenship status not reported",5,21+ years,5,Swedish,140,Pidgin,5,"Yes, speaks well",1005,Eskimo,100300,Alaskan Athabaskan,5,Grade 11,12,Kindergarten,5,Grade 9 to grade 12,32,Grade 2,5,Parochial (1970),19,Communications,1104,Food Science,,,12,"Has job, not working",,,,,14,"Self-employed, incorporated",4,Artists and art teachers,8,Human resources and labor relations managers,,Mining:,,,,,,,5,Not reported,,,,,9,Unknown,22,"Different house, moved within state, between counties",6,California,10900,"Allentown-Bethlehem-Easton, PA-NJ",4,In metropolitan area: Not in central/principal city,6,California,10900,"Allentown-Bethlehem-Easton, PA-NJ",4,In metropolitan area: Not in central/principal city,13,Passenger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201802,2018 PRCS,6,,6,4,,"Male householder, living alone",22,,West North Central Div.,9,,Connecticut,,,,6,,"Adrian, MI",5,,5.0 to 9.9%,,,,,,,4,,Other group quarters,,,Non-institutional group quarters,200,,Correctional institution,,,,,,,21,,No cash rent,,,,,,,4,,House on 3+ cuerdas (1980-1990),,,,,,,6,,$ 200 - 249,,,,6,,3-4 family building,6,,"5+ (1970-2000, 2000-2007 ACS/PRCS)",6,,6,6,,6,6,,6,6,,6,6,,6,,,,31,,3+ generations (Census 2008 definition),6,,6,7,,7th,,,UNRELATED SUBFAMILIES,,,,,,,,,,,,,16,,"Direct link, clarity level 6",16,,"Direct link, clarity level 6",22,,"Second level link, clarity level 2",16,,"Direct link, clarity level 6",16,,"Direct link, clarity level 6",6,,6,6,,6,6,,6 siblings,6,,6,6,,6,6,,Parent-in-Law,303,,Stepchild,,,6,6,,,6,Six times,,,,,,,,,7,"Other race, nec",150,Puerto Rican (1910 Hawaii),,,106,Mexican American Indian,8,Colorado,800,Colorado,5,Basque,5,Basque,51,Basque (1980),,,9,Missing,6,Danish,150,"Gullah, Geechee",6,"Yes, but not well",1006,Tlingit-Haida,100301,Alaskan Athabaskan - Tanaina,6,Grade 12,13,"Grade 1, 2, 3, or 4",6,College undergraduate,33,Grade 3,6,"Other private, 1980",20,Communication Technologies,1105,Plant Science and Agronomy,,,13,Armed forces,,,,,20,Works for wages,5,Athletes,13,"Managers and specialists in marketing, advertising, and public relations",206,Metal mining,,,,,,,,,,,,,,,23,"Different house, moved within state, within PUMA",8,Colorado,11020,"Altoona, PA",5,Abroad,8,Colorado,11020,"Altoona, PA",5,In metropolitan area: Central/principal city status indeterminable (mixed),14,Truck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201801,2018 ACS,7,,7,5,,"Male householder, not living alone",23,,Mixed Midwest Divisions (1970 Metro),10,,Delaware,,,,7,,"Abington, PA",,,,,,,,,,5,,Additional households under 2000 definition,5,,Non-institutional GQ,210,,Federal/state correctional,,,,,,,22,,With cash rent,,,,,,,5,,House on less than 10 cuerdas (2000 and PRCS),,,,,,,7,,$ 250 - 299,,,,7,,5-9 family building,7,,6,7,,7,7,,7,7,,7,7,,7,,,,,,,32,,3+ generations (Additional IPUMS definition),7,,7,8,,8th,5,,Married-couple unrelated subfamily with children,,,,,,,,,,,,,17,,"Direct link, clarity level 7",17,,"Direct link, clarity level 7",23,,"Second level link, clarity level 3",17,,"Direct link, clarity level 7",17,,"Direct link, clarity level 7",7,,7,7,,7,7,,7 siblings,7,,7,7,,7,7,,Sibling,304,,"Adopted, n.s.",,,7,7,,,7,Unknown,,,,,,,,,8,Two major races,200,Black/African American/Negro,,,107,Mexico,9,Connecticut,900,Connecticut,6,French Basque,6,French Basque,52,Spanish Basque (1980),,,,,7,Norwegian,160,Saramacca,7,Unknown,1007,Tshimshian,100400,Aleut,7,1 year of college,14,Grade 1,7,Graduate or professional school,34,Grade 4,7,"Other private, 1970",21,Computer and Information Sciences,1106,Soil Science,,,14,Armed forces--at work,,,,,21,Works on salary (1920),6,Authors,14,Managers in education and related fields,216,Coal mining,,,,,,,,,,,,,,,24,"Different house, moved within state, between PUMAs",9,Connecticut,11100,"Amarillo, TX",9,Metropolitan status indeterminable (mixed),9,Connecticut,11100,"Amarillo, TX",,Not in metropolitan area:,15,Van,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201704,"2013-2017, PRCS 5-year",8,,8,6,,"Female householder, living alone",,,SOUTH REGION,11,,District of Columbia,,,,10,,"Akron, OH",,,,,,,,,,6,,Fragment,6,,Military,211,,Prison,,,,,,,,,,,,,,,,6,,House on 10 or more cuerdas (2000 and PRCS),,,,,,,8,,$ 300 - 349,,,,8,,10-19 family building,8,,7,8,,8,8,,8,8,,8,8,,8,,,,,,,,,,8,,8,9,,9th,6,,Married-couple unrelated subfamily without children,,,,,,,,,,,,,18,,"Direct link, clarity level 8",18,,"Direct link, clarity level 8",24,,"Second level link, clarity level 4",18,,"Direct link, clarity level 8",18,,"Direct link, clarity level 8",8,,8,8,,8,8,,8 siblings,8,,8,8,,8,8,,Sibling-in-Law,401,,Child-in-law,,,8,8,,,8,Illegible,,,,,,,,,9,Three or more major races,210,Mulatto,,,200,Puerto Rican,10,Delaware,1000,Delaware,8,Belgian,8,Belgian,53,"Basque (1990-2000, ACS, PRCS)",,,,,8,Icelandic,170,Other English-based Creole languages,8,Illegible,1008,"Alaska Native, other or unknown",100500,Eskimo,8,2 years of college,15,Grade 2,,,40,Grade 5 to grade 8,,,22,Cosmetology Services and Culinary Arts,1199,Miscellaneous Agriculture,,,15,Armed forces--not at work but with job,,,,,22,"Wage/salary, private",7,Chemists,15,Managers of medicine and health occupations,226,Crude petroleum and natural gas extraction,,,,,,,,,,,,,,,25,"Different house, unknown within state",10,Delaware,11260,"Anchorage, AK",,,10,Delaware,11260,"Anchorage, AK",6,Not in metropolitan area; abroad; or not reported,20,Motorcycle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201703,"2013-2017, ACS 5-year",9,,9,7,,"Female householder, not living alone",31,,South Atlantic Division,12,,Florida,,,,30,,"Alameda, CA",,,,,,,,,,,,,7,,College dormitory,212,,Penitentiary,,,,,,,,,,,,,,,,,,,,,,,,,9,,$ 350 - 399,,,,9,,20-49 family building,9,,8,9,,9,9,,9,9,,9,,,,,,,,,,,,,9,,9,10,,10th,7,,Father-child unrelated subfamily,,,,,,,,,,,,,21,,"Second level link, clarity level 1",21,,"Second level link, clarity level 1",31,,"Third level link, clarity level 1",21,,"Second level link, clarity level 1",21,,"Second level link, clarity level 1",9,,9,9,,9,9,,9 or more siblings,9,,9,9,,9,9,,Grandchild,402,,Step Child-in-law,,,9,9,,,9,Missing,,,,,,,,,,,300,American Indian/Alaska Native,,,300,Cuban,11,District of Columbia,1100,District of Columbia,9,Flemish,9,Flemish,54,"Spanish Basque (1990-2000, 2001-2004 ACS)",,,,,9,Scandinavian,200,German,,,2001,Abenaki,100510,Inupiat,9,3 years of college,16,Grade 3,,,41,Grade 5,,,23,Education Administration and Teaching,1300,Environment and Natural Resources,,,20,Unemployed,,,,,23,Wage/salary at non-profit,8,Chiropractors,16,Postmasters and mail superintendents,236,"Nonmettalic  mining and quarrying, except fuel",,,,,,,,,,,,,,,30,Different state (general),11,District of Columbia,11460,"Ann Arbor, MI",,,11,District of Columbia,11460,"Ann Arbor, MI",7,Not in metropolitan area,,Public transport:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
