RECTYPE,,Record type
1,,Household
2,,Person
,,
YEAR,,Census year
1850,,1850
1860,,1860
1870,,1870
1880,,1880
1900,,1900
1910,,1910
1920,,1920
1930,,1930
1940,,1940
1950,,1950
1960,,1960
1970,,1970
1980,,1980
1990,,1990
2000,,2000
2001,,2001
2002,,2002
2003,,2003
2004,,2004
2005,,2005
2006,,2006
2007,,2007
2008,,2008
2009,,2009
2010,,2010
2011,,2011
2012,,2012
2013,,2013
2014,,2014
2015,,2015
2016,,2016
2017,,2017
2018,,2018
2019,,2019
,,
SAMPLE,,IPUMS sample identifier
201904,,"2015-2019, PRCS 5-year"
201903,,"2015-2019, ACS 5-year"
201902,,2019 PRCS
201901,,2019 ACS
201804,,"2014-2018, PRCS 5-year"
201803,,"2014-2018, ACS 5-year"
201802,,2018 PRCS
201801,,2018 ACS
201704,,"2013-2017, PRCS 5-year"
201703,,"2013-2017, ACS 5-year"
201702,,2017 PRCS
201701,,2017 ACS
201604,,"2012-2016, PRCS 5-year"
201603,,"2012-2016, ACS 5-year"
201602,,2016 PRCS
201601,,2016 ACS
201504,,"2011-2015, PRCS 5-year"
201503,,"2011-2015, ACS 5-year"
201502,,2015 PRCS
201501,,2015 ACS
201404,,"2010-2014, PRCS 5-year"
201403,,"2010-2014, ACS 5-year"
201402,,2014 PRCS
201401,,2014 ACS
201306,,"2009-2013, PRCS 5-year"
201305,,"2009-2013, ACS 5-year"
201304,,"2011-2013, PRCS 3-year"
201303,,"2011-2013, ACS 3-year"
201302,,2013 PRCS
201301,,2013 ACS
201206,,"2008-2012, PRCS 5-year"
201205,,"2008-2012, ACS 5-year"
201204,,"2010-2012, PRCS 3-year"
201203,,"2010-2012, ACS 3-year"
201202,,2012 PRCS
201201,,2012 ACS
201106,,"2007-2011, PRCS 5-year"
201105,,"2007-2011, ACS 5-year"
201104,,"2009-2011, PRCS 3-year"
201103,,"2009-2011, ACS 3-year"
201102,,2011 PRCS
201101,,2011 ACS
201008,,2010 Puerto Rico 10%
201007,,2010 10%
201006,,"2006-2010, PRCS 5-year"
201005,,"2006-2010, ACS 5-year"
201004,,"2008-2010, PRCS 3-year"
201003,,"2008-2010, ACS 3-year"
201002,,2010 PRCS
201001,,2010 ACS
200906,,"2005-2009, PRCS 5-year"
200905,,"2005-2009, ACS 5-year"
200904,,"2007-2009, PRCS 3-year"
200903,,"2007-2009, ACS 3-year"
200902,,2009 PRCS
200901,,2009 ACS
200804,,"2006-2008, PRCS 3-year"
200803,,"2006-2008, ACS 3-year"
200802,,2008 PRCS
200801,,2008 ACS
200704,,"2005-2007, PRCS 3-year"
200703,,"2005-2007, ACS 3-year"
200702,,2007 PRCS
200701,,2007 ACS
200602,,2006 PRCS
200601,,2006 ACS
200502,,2005 PRCS
200501,,2005 ACS
200401,,2004 ACS
200301,,2003 ACS
200201,,2002 ACS
200101,,2001 ACS
200008,,2000 Puerto Rico 1%
200007,,2000 1%
200006,,2000 Puerto Rico 1% sample (old version)
200005,,2000 Puerto Rico 5%
200004,,2000 ACS
200003,,2000 Unweighted 1%
200002,,2000 1% sample (old version)
200001,,2000 5%
199007,,1990 Puerto Rico 1%
199006,,1990 Puerto Rico 5%
199005,,1990 Labor Market Area
199004,,1990 Elderly
199003,,1990 Unweighted 1%
199002,,1990 1%
199001,,1990 5%
198007,,1980 Puerto Rico 1%
198006,,1980 Puerto Rico 5%
198005,,1980 Detailed metro/non-metro
198004,,1980 Labor Market Area
198003,,1980 Urban/Rural
198002,,1980 1%
198001,,1980 5%
197009,,1970 Puerto Rico Neighborhood
197008,,1970 Puerto Rico Municipio
197007,,1970 Puerto Rico State
197006,,1970 Form 2 Neighborhood
197005,,1970 Form 1 Neighborhood
197004,,1970 Form 2 Metro
197003,,1970 Form 1 Metro
197002,,1970 Form 2 State
197001,,1970 Form 1 State
196002,,1960 5%
196001,,1960 1%
195001,,1950 1%
194002,,1940 100% database
194001,,1940 1%
193004,,1930 100% database
193003,,1930 Puerto Rico
193002,,1930 5%
193001,,1930 1%
192003,,1920 100% database
192002,,1920 Puerto Rico sample
192001,,1920 1%
191004,,1910 100% database
191003,,1910 1.4% sample with oversamples
191002,,1910 1%
191001,,1910 Puerto Rico
190004,,1900 100% database
190003,,1900 1% sample with oversamples
190002,,1900 1%
190001,,1900 5%
188003,,1880 100% database
188002,,1880 10%
188001,,1880 1%
187003,,1870 100% database
187002,,1870 1% sample with black oversample
187001,,1870 1%
186003,,1860 100% database
186002,,1860 1% sample with black oversample
186001,,1860 1%
185002,,1850 100% database
185001,,1850 1%
,,
SUBSAMP,,Subsample number
0,,First 1% subsample
1,,2nd 1% subsample
2,,2
3,,3
4,,4
5,,5
6,,6
7,,7
8,,8
9,,9
10,,10
11,,11
12,,12
13,,13
14,,14
15,,15
16,,16
17,,17
18,,18
19,,19
20,,20
21,,21
22,,22
23,,23
24,,24
25,,25
26,,26
27,,27
28,,28
29,,29
30,,30
31,,31
32,,32
33,,33
34,,34
35,,35
36,,36
